time,temperature,density,fusion_power,E_field,control_signal
0.0,1.9920159786880007,1.000959980800256e+19,2.4888143687686135e-05,0.0,15.069999946773116
0.01,1.9840638296741568,1.001919923202048e+19,2.488608115290262e-05,0.0,15.219441543684034
0.02,1.9761434257239143,1.0028798272069118e+19,2.4883971198490504e-05,0.0,15.288964678541992
0.03,1.9682546401106409,1.0038396928163834e+19,2.4881813929491064e-05,0.0,15.358409876837564
0.04,1.9603973466135984,1.0047995200319984e+19,2.4879609450911548e-05,0.0,15.427777449694325
0.05,1.9525714195159236,1.0057593088552927e+19,2.4877357867724545e-05,0.0,15.497067706993871
0.06,1.9447767336026158,1.0067190592878019e+19,2.487505928486719e-05,0.0,15.566280957380705
0.07,1.937013164158534,1.0076787713310616e+19,2.4872713807240575e-05,0.0,15.635417508267274
0.08,1.9292805869664016,1.0086384449866072e+19,2.4870321539708966e-05,0.0,15.70447766583878
0.09,1.9215788783048184,1.0095980802559744e+19,2.486788258709922e-05,0.0,15.773461735058156
0.1,1.9139079149462819,1.0105576771406985e+19,2.4865397054199998e-05,0.0,15.842370019670906
0.11,1.9062675741552144,1.011517235642315e+19,2.486286504576116e-05,0.0,15.911202822209997
0.12,1.8986577336860002,1.0124767557623589e+19,2.4860286666493087e-05,0.0,15.979960444000685
0.13,1.8910782717810297,1.0134362375023657e+19,2.4857662021065964e-05,0.0,16.04864318516528
0.14,1.8835290671687506,1.0143956808638704e+19,2.485499121410917e-05,0.0,16.11725134462808
0.15,1.8760099990617278,1.0153550858484083e+19,2.4852274350210588e-05,0.0,16.185785220120014
0.16,1.8685209471547115,1.0163144524575142e+19,2.4849511533915943e-05,0.0,16.254245108183486
0.17,1.8610617916227115,1.0172737806927233e+19,2.484670286972816e-05,0.0,16.322631304177087
0.18,1.8536324131190798,1.0182330705555704e+19,2.48438484621067e-05,0.0,16.390944102280383
0.19,1.8462326927736021,1.0191923220475904e+19,2.4840948415466946e-05,0.0,16.459183795498486
0.2,1.838862512190595,1.0201515351703181e+19,2.48380028341795e-05,0.0,16.527350675666916
0.21,1.831521753447012,1.0211107099252883e+19,2.483501182256961e-05,0.0,16.59544503345612
0.22,1.8242102990905564,1.0220698463140356e+19,2.4831975484916466e-05,0.0,16.663467158376214
